,id,location,link,Description,price,price/m2,M2 built,rooms,Floor,baths,Terrace,interna-esxternal,Elevator,status,orientation,Air conditioning,kitchen_quality,bathroom_quality,overall_quality,garage
0,1,Puerta_angel,https://www.idealista.com/inmueble/97667350/,Flat / apartment for sale in Puerta del Ángel,198000,2571,77,3,2,1,1,exterior,0,Second hand/good condition,Not defined,yes,average,good,good,0
1,2,Puerta_angel,https://www.idealista.com/en/inmueble/96816355/,Flat / apartment for sale in GRANDEZA ESPAÑOLA,190000,3455,55,2,2,1,1,exterior,0,Second hand/good condition,Orientation East,Not defined,good,average,average,0
2,3,Puerta_angel,https://www.idealista.com/en/inmueble/97346104/,Flat / apartment for sale in paseo Olivos,281000,3289,76,3,1,2,0,exterior,1,Second hand/good condition,Not defined,Not defined,good,good,good,0
3,4,Puerta_angel,https://www.idealista.com/en/inmueble/97534855/,Flat / apartment for sale in calle María del Carmen,195000,2349,83,3,3,1,0,exterior,0,Second hand/good condition,Not defined,Not defined,good,good,good,0
5,6,Puerta_angel,https://www.idealista.com/en/inmueble/97322187/,Flat / apartment for sale in calle Sagrados Corazones,170000,2267,75,3,1,1,1,exterior,1,Second hand/good condition,Orientation East,not defined,average,low,low,0
6,7,Puerta_angel,https://www.idealista.com/en/inmueble/97531253/,Flat / apartment for sale in calle Juan Pascual de Mena,169000,2253,75,3,3,1,1,exterior,0,Second hand/good condition,"Orientation North, South",Not defined,good,good,good,0
7,8,Puerta_angel,https://www.idealista.com/en/inmueble/96440938/,"Flat / apartment for sale in calle Fortuna, 12",157000,2453,64,3,1,1,1,exterior,0,Second hand/good condition,Not defined,Not defined,low,low,low,0
8,9,Puerta_angel,https://www.idealista.com/en/inmueble/97748837/,Flat / apartment for sale in calle Domingo de Silva,179000,3442,52,2,3,1,0,exterior,0,Second hand/good condition,"Orientation South, West",Not defined,average,average,average,0
10,11,Puerta_angel,https://www.idealista.com/en/inmueble/97300440/,Flat / apartment for sale in paseo Olivos,156000,2108,74,3,3,3,1,exterior,0,Second hand/good condition,Not defined,Not defined,low,low,low,0
11,12,Puerta_angel,https://www.idealista.com/en/inmueble/96473322/,Flat / apartment for sale in calle Vicente Camarón,156000,2108,74,3,2,1,0,exterior,0,Second hand/good condition,Not defined,Not defined,average,average,average,0
12,13,Puerta_angel,https://www.idealista.com/en/inmueble/97775765/,"Flat / apartment for sale in calle Navas del Rey, 53",170000,2615,65,2,2,1,1,exterior,0,Second hand/good condition,Orientation West,Not defined,average,average,average,0
13,14,Puerta_angel,https://www.idealista.com/en/inmueble/97773328/,Flat / apartment for sale in calle Navas del Rey NN,159000,2446,65,3,2,1,1,exterior,0,Second hand/good condition,"Orientation South, East, West",yes,low,low,low,0
14,15,Puerta_angel,https://www.idealista.com/en/inmueble/97480934/,"Flat / apartment for sale in calle Domingo de Zaizita, 9",320000,3478,92,3,2,1,1,exterior,1,Second hand/good condition,Orientation South,yes,average,average,average,0
16,18,Puerta_angel,https://www.idealista.com/en/inmueble/97306173/,Flat / apartment for sale in avenida de Portugal,285000,3167,90,3,3,2,1,exterior,1,Second hand/good condition,Orientation West,Not defined,good,good,good,0
18,20,Puerta_angel,https://www.idealista.com/en/inmueble/96341560/,Flat / apartment for sale in plaza Santa Cristina,339000,3424,99,3,1,2,0,exterior,1,Second hand/good condition,Not defined,Not defined,average,average,average,0
19,21,Puerta_angel,https://www.idealista.com/en/inmueble/97668901/,Flat / apartment for sale in plaza Santa Cristina,145000,2417,60,3,3,1,1,exterior,0,Second hand/good condition,Orientation South,Not defined,average,average,average,0
20,22,Puerta_angel,https://www.idealista.com/en/inmueble/97761525/,Flat / apartment for sale in Domingo de Silva,179000,3442,52,2,3,1,0,exterior,1,Second hand/good condition,"Orientation South, West",yes,average,average,average,0
23,25,Puerta_angel,https://www.idealista.com/en/inmueble/97135254/,Flat / apartment for sale in calle EGICA,160000,1951,82,2,3,1,0,exterior,1,Second hand/good condition,Not defined,yes,good,good,good,0
24,26,Puerta_angel,https://www.idealista.com/en/inmueble/97766586/,Flat / apartment for sale in Federico Mayo,195000,2671,73,3,2,1,0,exterior,1,Second hand/good condition,Orientation North,Not defined,average,average,good,0
25,27,Puerta_angel,https://www.idealista.com/en/inmueble/97280757/,Flat / apartment for sale in paseo de Extremadura,320000,2712,118,4,2,2,0,exterior,1,Second hand/good condition,Orientation South,Not defined,average,average,good,0
26,28,Puerta_angel,https://www.idealista.com/en/inmueble/97085244/,Flat / apartment for sale in calle Vicente Camarón,200000,2151,93,3,3,1,0,exterior,0,Second hand/good condition,Orientation East,yes,good,good,good,0
27,29,Puerta_angel,https://www.idealista.com/en/inmueble/97405924/,Flat / apartment for sale in calle de Jaime Vera,197000,2814,70,2,1,1,0,exterior,0,Second hand/good condition,Orientation West,Not defined,good,good,good,0
29,31,Puerta_angel,https://www.idealista.com/en/inmueble/97554278/,Flat / apartment for sale in calle María del Carmen,180000,2308,78,2,3,1,1,exterior,0,Second hand/good condition,"Orientation South, West",yes,good,good,good,0
30,32,Puerta_angel,https://www.idealista.com/en/inmueble/93904138/,Flat / apartment for sale in paseo Olivos,149000,2443,61,3,1,1,0,internal,0,Second hand/good condition,Not defined,yes,good,good,good,0
31,33,Puerta_angel,https://www.idealista.com/en/inmueble/97684080/,Flat / apartment for sale in calle Juan Pascual de Mena,174900,2463,71,3,4,1,1,exterior,0,Second hand/good condition,Orientation South,yes,good,good,good,0
32,34,Puerta_angel,https://www.idealista.com/en/inmueble/95655975/,Flat / apartment for sale in avenida Portugal,310000,3974,78,3,2,1,1,exterior,1,Second hand/good condition,"Orientation North, South",Not defined,good,good,good,0
33,35,Puerta_angel,https://www.idealista.com/en/inmueble/96622830/,Flat / apartment for sale in paseo de Extremadura,275000,3986,69,2,2,1,0,exterior,0,Second hand/good condition,Not defined,yes,good,good,good,0
34,36,Puerta_angel,https://www.idealista.com/en/inmueble/97729275/,"Flat / apartment for sale in calle Fortuna, 12",157000,2415,65,3,1,1,1,exterior,0,Second hand/good condition,"Orientation South, East",Not defined,good,good,good,0
35,37,Puerta_angel,https://www.idealista.com/en/inmueble/97305846/,Flat / apartment for sale in calle de la Grandeza Española,149000,2922,51,2,1,1,0,exterior,0,Second hand/good condition,Orientation South,Not defined,good,good,good,0
37,39,Puerta_angel,https://www.idealista.com/en/inmueble/97730736/,Flat / apartment for sale in Puerta del Ángel,170000,2615,65,2,1,1,0,exterior,1,Second hand/good condition,Orientation East,Not defined,good,good,good,0
38,40,Puerta_angel,https://www.idealista.com/en/inmueble/97593761/,Flat / apartment for sale in avenida de Portugal,309000,3962,78,3,2,1,1,exterior,1,Second hand/good condition,"Orientation North, South, East",yes,average,average,average,0
39,41,Puerta_angel,https://www.idealista.com/en/inmueble/95996600/,Flat / apartment for sale in paseo Olivos,115000,2556,45,2,1,1,0,internal,0,Second hand/good condition,Not defined,Not defined,low,low,low,0
40,42,Puerta_angel,https://www.idealista.com/en/inmueble/96015909/,"Flat / apartment for sale in calle de Cabello Lapiedra, 3",138000,2936,47,2,3,1,0,exterior,0,Second hand/good condition,Not defined,yes,average,average,average,0
41,43,Puerta_angel,https://www.idealista.com/en/inmueble/97666808/,Flat / apartment for sale in calle Alfonso Cea,359000,3701,97,2,1,1,1,exterior,1,Second hand/good condition,"Orientation East, West",yes,good,good,good,0
43,45,Puerta_angel,https://www.idealista.com/en/inmueble/97769006/,Flat / apartment for sale in calle Navas del Rey,279000,3000,93,3,1,2,1,exterior,1,Second hand/good condition,"Orientation East, West",Not defined,low,low,low,0
45,47,Puerta_angel,https://www.idealista.com/en/inmueble/96873833/,Flat / apartment for sale in avenida de Portugal,320000,3636,88,3,4,3,1,exterior,1,Second hand/good condition,Orientation South,yes,good,good,good,0
48,50,Puerta_angel,https://www.idealista.com/en/inmueble/95888172/,"Flat / apartment for sale in calle Sagrados Corazones, 6",169000,2284,74,3,1,1,0,exterior,1,Second hand/good condition,"Orientation South, West",yes,average,average,average,0
50,52,Puerta_angel,https://www.idealista.com/en/inmueble/97060311/,Flat / apartment for sale in calle Alfonso Cea,357000,3104,115,3,2,2,0,exterior,1,Second hand/good condition,"Orientation East, West",yes,average,average,average,0
52,54,Puerta_angel,https://www.idealista.com/en/inmueble/97429285/,Flat / apartment for sale in paseo de los Jesuitas,230000,2771,83,3,3,1,1,exterior,0,Second hand/good condition,"Orientation East, West",yes,good,good,good,0
53,55,Puerta_angel,https://www.idealista.com/en/inmueble/97428891/,Flat / apartment for sale in paseo de Extremadura,239000,3794,63,2,2,2,1,exterior,0,Second hand/good condition,"Orientation North, South",yes,average,average,good,0
0,36,Comillas,https://www.idealista.com/en/inmueble/97476103/,Flat / apartment for sale in calle Enrique Moyano,128000,2327,55,2,3,1,1,exterior,0,Second hand/good condition,"Orientation South, West",Not defined,average,average,average,0
1,35,Comillas,https://www.idealista.com/en/inmueble/96449252/,Flat / apartment for sale in calle de Guadalete,169000,2139,79,3,4,1,1,exterior,0,Second hand/good condition,"Orientation South, East",yes,average,average,average,0
2,20,Comillas,https://www.idealista.com/en/inmueble/97338689/,"Flat / apartment for sale in calle Fernando Díaz de Mendoza, 24
",175500,2831,62,2,2,1,1,exterior,0,Second hand/good condition,Orientation East,Not defined,average,average,average,0
3,22,Comillas,https://www.idealista.com/en/inmueble/97348168/,Flat / apartment for sale in calle Fernando Díaz de Mendoza,175500,2831,62,2,2,1,1,exterior,0,Second hand/good condition,Not defined,Not defined,low,low,low,0
4,16,Comillas,https://www.idealista.com/en/inmueble/96519390/,Flat / apartment for sale in calle de Antonio López,239000,3366,71,3,1,1,1,interior ,1,Second hand/good condition,"Orientation South, West",yes,good,good,good,0
5,17,Comillas,https://www.idealista.com/en/inmueble/96987011/,Flat / apartment for sale in paseo de Santa María de la Cabeza,262000,3275,80,2,2,1,1,exterior,1,Second hand/good condition,"Orientation South, West",yes,good,good,good,0
6,15,Comillas,https://www.idealista.com/en/inmueble/93496912/,Penthouse for sale in calle del Marqués de Jura Real,280000,2947,95,2,6,2,1,exterior,1,Second hand/good condition,"Orientation North, South",yes,good,good,good,0
7,19,Comillas,https://www.idealista.com/en/inmueble/97189412/,"Flat / apartment for sale in avenida del Manzanares, 176",285030,3203,89,2,3,1,0,interior ,1,Second hand/good condition,"Orientation East, West",Not defined,average,average,average,0
8,32,Comillas,https://www.idealista.com/en/inmueble/95646571/,"Flat / apartment for sale in calle de Antonio López, 68",336500,3059,110,3,5,2,0,exterior,1,Second hand/good condition,Orientation South,yes,good,good,good,0
9,23,Comillas,https://www.idealista.com/en/inmueble/97323978/,Flat / apartment for sale in calle de Guadalete,139000,2206,63,2,1,1,0,exterior,0,Second hand/good condition,"Orientation East, West",yes,average,average,average,0
10,6,Comillas,https://www.idealista.com/en/inmueble/97203507/,Flat / apartment for sale in ARLANZA,139000,2138,65,2,1,2,0,exterior,0,Second hand/good condition,"Orientation East, West",yes,average,average,good,0
11,9,Comillas,https://www.idealista.com/en/inmueble/97708020/,Flat / apartment for sale in paseo de Santa María de la Cabeza,145000,2458,59,2,1,2,0,exterior,0,Second hand/good condition,"Orientation South, West",Not defined,good,good,good,0
12,4,Comillas,https://www.idealista.com/en/inmueble/97768893/,"Flat / apartment for sale in paseo de Santa María de la Cabeza, 156",145000,2132,68,2,3,2,0,exterior,0,Second hand/good condition,Not defined,yes,good,good,good,0
13,34,Comillas,https://www.idealista.com/en/inmueble/97087295/,"Flat / apartment for sale in Urb. C/ Guadalate, Comillas",150000,1500,100,4,1,1,0,exterior,0,Second hand/good condition,Not defined,Not defined,low,low,low,0
14,12,Comillas,https://www.idealista.com/en/inmueble/97624240/,Flat / apartment for sale in paseo de Santa María de la Cabeza,155000,2279,68,2,1,1,0,exterior,0,Second hand/good condition,"Orientation South, West",Not defined,good,good,good,0
15,21,Comillas,https://www.idealista.com/en/inmueble/97763332/,Flat / apartment for sale in Comillas,160000,2133,75,3,3,1,1,exterior,0,Second hand/good condition,Not defined,Not defined,low,low,low,0
16,10,Comillas,https://www.idealista.com/en/inmueble/97756040/,"Flat / apartment for sale in calle de Arlanza, 25",165500,2207,75,3,4,1,1,exterior,0,Second hand/good condition,Not defined,Not defined,average,average,average,0
17,25,Comillas,https://www.idealista.com/en/inmueble/97304290/,Flat / apartment for sale in calle Conde de Vistahermosa,169000,2600,65,2,3,1,0,exterior,0,Second hand/good condition,Not defined,Not defined,low,low,low,0
18,31,Comillas,https://www.idealista.com/en/inmueble/97365863/,Flat / apartment for sale in Comillas,175000,2574,68,2,2,1,0,exterior,0,Second hand/good condition,"Orientation South, East",yes,low,low,low,0
19,24,Comillas,https://www.idealista.com/en/inmueble/97594819/,Flat / apartment for sale in calle Fernando Díaz de Mendoza,175500,2831,62,2,2,1,1,exterior,1,Second hand/good condition,Not defined,Not defined,average,average,average,0
20,30,Comillas,https://www.idealista.com/en/inmueble/36216183/,"Duplex for sale in calle Fernando Díaz de Mendoza, 45",190000,3065,62,2,1,2,1,exterior,0,Second hand/good condition,Not defined,Not defined,average,average,average,0
21,14,Comillas,https://www.idealista.com/en/inmueble/95767677/,Flat / apartment for sale in Marqués de jura real,225000,2500,90,3,5,1,1,exterior,1,Second hand/good condition,"Orientation South, East",yes,good,good,good,0
22,5,Comillas,https://www.idealista.com/en/inmueble/97570605/,Flat / apartment for sale in calle de Antonio López,235000,2350,100,3,1,2,0,exterior,0,Second hand/good condition,Not defined,Not defined,average,average,good,0
23,26,Comillas,https://www.idealista.com/en/inmueble/96060507/,Flat / apartment for sale in calle Antonio Vicent,238000,2867,83,3,2,1,1,exterior,0,Second hand/good condition,"Orientation South, West",yes,good,good,good,0
24,3,Comillas,https://www.idealista.com/inmueble/96519390/,Piso en venta en calle de Antonio López,239000,3366,71,3,1,1,1,interior ,1,Second hand/good condition,"Orientation South, West",yes,good,good,good,0
25,29,Comillas,https://www.idealista.com/en/inmueble/97733531/,Flat / apartment for sale in paseo de Santa María de la Cabeza,240000,3429,70,2,2,1,0,exterior,1,Second hand/good condition,Orientation East,yes,average,average,average,0
26,1,Comillas,https://www.idealista.com/inmueble/97033086/,Piso en venta en paseo de Santa María de la Cabeza,258500,2750,94,3,7,1,1,exterior,1,Second hand/good condition,"Orientación este, oeste",yes,average,average,average,0
27,13,Comillas,https://www.idealista.com/en/inmueble/97537015/,Flat / apartment for sale in calle comillas,260000,2889,90,3,2,1,1,exterior,0,Second hand/good condition,"Orientation North, East",Not defined,good,good,good,0
28,37,Comillas,https://www.idealista.com/en/inmueble/97054618/,Flat / apartment for sale in Antonio lopez,260000,2955,88,3,1,2,1,exterior,1,Second hand/good condition,Orientation South,yes,good,good,good,0
29,2,Comillas,https://www.idealista.com/inmueble/96987011/,Piso en venta en paseo de Santa María de la Cabeza,262000,3275,80,2,2,1,1,exterior,1,Second hand/good condition,"Orientation South, West",yes,good,good,good,0
30,8,Comillas,https://www.idealista.com/en/inmueble/97722249/,"Duplex for sale in calle Parador del Sol, 28",277000,3645,76,2,1,2,1,exterior,1,Second hand/good condition,Orientation South,yes,good,good,good,0
31,18,Comillas,https://www.idealista.com/en/inmueble/96989151/,Flat / apartment for sale in calle de Antonio de Leyva NN,280000,2947,95,3,6,1,1,exterior,1,Second hand/good condition,"Orientation South, West",yes,good,good,good,0
32,28,Comillas,https://www.idealista.com/en/inmueble/97768067/,"Flat / apartment for sale in Urb. ZONA ANTONIO LÓPEZ, Comillas",285000,2850,100,3,2,2,1,exterior,1,Second hand/good condition,Orientation East,yes,good,low,average,0
33,27,Comillas,https://www.idealista.com/en/inmueble/97137048/,Flat / apartment for sale in avenida del Manzanares,285030,3203,89,3,3,1,0,exterior,1,Second hand/good condition,Not defined,Not defined,average,average,average,0
34,11,Comillas,https://www.idealista.com/en/inmueble/90299020/,Flat / apartment for sale in calle Fernando Díaz de Mendoza,314000,3019,104,4,2,1,1,exterior,0,Second hand/good condition,Not defined,Not defined,average,average,average,0
35,7,Comillas,https://www.idealista.com/en/inmueble/97722250/,"Duplex for sale in calle de Eduardo Marquina, 34",318000,3573,89,3,1,2,1,exterior,1,Second hand/good condition,Orientation South,yes,good,good,good,0
36,33,Comillas,https://www.idealista.com/en/inmueble/97451465/,"Flat / apartment for sale in calle del Marqués de Jura Real, 4",320000,3404,94,3,6,1,1,exterior,1,Second hand/good condition,"Orientation East, West",yes,average,average,average,0
